LR_Diff,RodPulse,RodIndex,SizeName,Red,Red/Orange,Dark Orange,Orange,Green,Scar,Texture,Blem,Dark Blem,Trapeziod Angle (Deg),Stem angle,Smoothness,Flatness,Elongation,Calyx size,Stem Size,IQS 1 avg,IQS 2 avg,Rough skin,Fruit Center X (mm),Fruit Center Y (mm)
33.9,159,19,48,0.1649,0.7098,12.2588,85.8063,0.1215,0.3835,858.2647,1.9386,24.0468,180,180,100,3.9244,4.762,259.6343,358.473,11.15,33.455,48.1481,2.6874,-0.0613
21.2,160,20,72,0.0835,0.2028,5.3722,93.1486,0,0.1412,277.6591,0,0.555,180,154.6113,94.9992,6.288,3.2989,251.6214,362.9243,11.125,35.005,44.4444,2.5679,-2.7946
23,162,22,48,0.0472,0.1136,6.2333,91.4384,0,0.1311,688.54,59.0907,6.2513,180,175.5745,92.8732,5.6006,3.1304,226.8837,455.0354,11.205,31.78,80.7692,3.409,-0.0146
32,164,24,56,0.0749,0.208,7.8509,90.431,0.0019,0.6314,947.0322,71.4161,0.2811,180,174.2415,100,6.0593,4.6034,211.5294,343.44,11.645,31.775,66.6667,0.3653,-1.6203
16,165,25,72,0.0518,0.1555,5.3308,93.6283,0,0.2115,292.8759,7.7026,0.8498,180,176.5757,91.1479,5.4391,3.2534,79.4783,298.2872,11.495,32.57,42.8571,1.6382,-2.2662
18.2,167,27,113,0.0427,0.1496,4.8031,93.7582,0,0.3015,152.8806,5.0261,0,180,169.5672,88.9374,5.1903,2.7977,90.6985,137.21,11.31,34.79,11.1111,2.236,-1.9601
39.4,168,28,56,0.2231,0.2688,9.3893,89.7202,0.0219,0.1152,1057.8674,17.9989,22.6727,170.1231,178.1571,95.2317,5.8995,3.9525,241.715,398.6748,11.15,32.935,33.3333,3.8919,-1.4725
32.4,174,34,48,0.0598,0.2177,8.1684,88.3372,0.0199,0.4021,534.2968,20.9392,4.8814,180,174.304,100,6.6558,5.9902,133.8675,618.0674,11.44,32.52,96.1538,1.3527,-0.0122
40.2,175,35,56,0.0905,0.6162,10.5843,87.2736,0.0888,0.3516,1136.0824,39.4423,11.6873,180,180,82.1345,3.6947,6.5384,99.6679,621.3797,11.275,33.8,88.8889,2.6725,0.2186
37.5,177,37,56,0.0769,0.1613,9.7545,89.2048,0.1781,0.2288,750.7807,31.0691,11.3846,178.5792,180,93.8859,5.8807,2.9969,242.0605,380.9471,11.655,33.06,66.6667,1.8554,-0.924
19,179,39,56,0.065,0.1683,7.9529,90.3506,0,0.1377,231.6646,5.8667,0,180,143.2685,95.1771,6.5259,2.4737,120.1327,339.8853,11.275,31.55,60.7143,2.0464,-2.6093
41.7,182,42,88,0.0566,0.2176,5.7786,91.2169,0,0.3416,294.605,27.2906,0,180,167.1859,94.9311,4.6189,4.464,38.8397,254.0667,11.175,31.445,42.8571,2.2287,-3.1542
30.9,184,44,56,0.0339,0.079,6.6421,92.6262,0.0263,0.2144,603.431,0.8433,0.2743,180,180,87.3102,5.3691,5.8971,107.5773,275.0953,11.11,34.335,19.2308,2.8066,-1.7262
12.7,185,45,72,0.0375,0.1719,5.311,88.9611,0,0.739,363.0299,88.4738,1.4066,162.9644,160.2491,100,4.5918,4.7134,153.8843,349.9808,11.325,32.615,33.3333,0.9927,0.8335
25,188,48,72,0.1174,0.2141,5.8494,91.9002,0,0.1812,209.388,3.3233,1.0971,180,177.8861,100,5.8287,4.2767,62.2603,342.1322,10.805,35.07,68,1.2434,-4.4697
20.8,190,50,48,0.1812,0.3094,9.208,88.5971,0.0096,0.2405,1714.1537,34.7585,19.2071,180,180,100,5.1113,8.5783,63.4161,423.6357,11.25,33.69,61.5385,2.1751,-1.7905
12.3,194,54,56,0.0631,0.1616,5.5234,93.219,0,0.1064,240.8465,3,0,180,167.2235,100,4.3043,3.5766,142.5672,267.2579,11.335,34.685,33.3333,1.9612,-4.6672
22.4,196,56,88,0.0932,0.1588,8.1763,91.1524,0,0.1122,645.4703,26.3071,0,180,169.8321,100,4.3922,1.9173,64.5784,289.9254,11.82,33.225,48.1481,2.202,-2.8157
23.9,197,57,56,0.1506,0.3479,9.0826,89.7735,0.1471,0.2821,594.8139,1.6736,0,180,155.9286,94.5107,4.672,5.7383,109.3304,601.6818,11.535,34.08,25.9259,3.301,-2.0304
19.2,198,58,72,0.1784,0.3455,8.8881,90.1861,0.1108,0.1127,352.6829,0.5485,4.6627,180,180,77.2417,4.2733,8.3733,91.0114,291.1784,10.985,33.75,42.3077,3.3299,-2.1283
54.6,201,61,40,0.368,0.4387,12.5487,85.1711,0.0204,0.2312,1308.6466,27.8447,30.9413,180,169.5529,100,8.8512,6.0467,130.971,529.9227,11.515,34.025,70.3704,-0.1588,-1.6535
5.3,206,66,40,0.0363,0.1863,9.3283,88.7382,0.1648,0.8193,1471.004,223.5337,10.0192,180,150.4736,93.1794,8.9305,5.753,268.2855,447.1195,11.67,33.405,96.1538,3.3149,-3.0595
35.9,211,71,48,0.1083,0.3097,8.6329,90.262,0.0051,0.2082,1493.9883,79.8624,2.1844,180,166.9405,90.901,6.1642,3.4881,14.2989,468.7402,11.595,32.775,100,1.9171,-1.8656
40.4,217,77,40,0.1106,0.431,9.6456,87.3892,0.0163,0.5644,1248.1448,34.7682,4.9211,166.8675,177.0989,100,3.5018,3.4431,147.1676,614.5771,10.85,33.64,85.1852,4.0444,0.5561
27,229,89,48,0.0338,0.1454,7.3266,91.3021,0.0135,0.4464,771.569,58.4799,1.1144,180,154.3347,100,6.1386,4.7317,107.5128,347.3447,11.91,33.115,100,1.4907,-1.787
47.9,233,93,48,0.0957,0.1999,9.3606,89.3886,0.0154,0.1504,1643.2334,74.9279,20.3591,180,156.057,83.3113,6.7759,5.2709,192.6326,591.7026,11.845,33.315,92.5926,3.2835,-2.4328
39.2,234,94,48,0.0569,0.1431,11.008,87.7487,0,0.2155,484.0277,36.7798,0,180,151.9516,100,6.2747,2.1942,160.7068,578.7869,10.855,35.585,81.4815,0.7188,0.3647
56.1,237,97,48,0.0792,0.17,8.0886,89.5162,0.1023,0.1486,1582.7687,227.9057,22.3134,180,170.9692,100,5.1219,3.322,196.6112,748.1512,11.395,32.625,57.6923,1.29,-4.3249
22,244,104,56,0.088,0.2947,7.3608,91.688,0.0096,0.2316,700.949,26.4216,1.9379,159.5997,174.1345,100,4.7088,2.4453,159.6093,278.3261,11.885,32.395,55.5556,3.1502,-3.0254
32.5,245,105,40,0.1337,0.1815,10.7023,86.6312,0.0561,0.1337,905.8609,308.5963,13.7695,180,150.1893,94.9573,6.7604,2.4663,1.6093,729.6451,11.68,32.28,59.2593,3.0805,-2.2352
18.7,254,114,56,0.1676,0.21,7.7971,91.1532,0,0.1849,470.9705,57.6422,0,180,168.878,100,7.6988,3.9268,123.1413,230.3725,11.355,32.57,3.5714,3.1256,-0.4502
29.9,3,119,56,0.1614,0.1966,7.5222,91.118,0,0.2059,518.4539,0,0,180,165.6373,100,5.6162,4.5851,243.0821,413.8506,11.68,33.54,69.2308,2.8586,-3.1378
30.8,8,124,56,0.0463,0.1319,6.7768,92.4427,0.0249,0.3136,358.1738,2.4535,4.9071,180,180,92.9276,4.8455,7.1204,121.3198,312.4235,11.685,34.295,11.1111,5.0607,-2.837
35.7,10,126,48,0.338,0.3085,13.7,84.6888,0.0837,0.2313,947.8134,10.0201,16.1066,180,169.8557,88.0245,7.2641,7.001,135.1478,581.678,11.43,34.975,59.2593,2.0586,-0.9992
32.5,11,127,56,0.1234,0.2213,9.9491,88.9072,0.0744,0.1371,657.7911,12.9459,17.8659,180,164.7625,100,4.3822,2.8794,154.4547,212.3579,11.805,32.555,11.1111,2.4503,-0.952
27,14,130,72,0.0183,0.1075,4.6655,93.6407,0,0.2475,160.9027,30.0113,1.652,180,168.2573,100,6.1144,5.2755,161.9753,270.9274,11.1,31.56,64.2857,3.1702,-1.9203
21.2,15,131,56,0.1423,0.1866,7.1532,91.9619,0,0.0222,324.4562,15.5639,0.5444,180,160.1066,100,4.9371,2.1493,1.362,406.8598,10.95,35.06,25.9259,4.406,-1.7384
14.5,16,132,56,0.1291,0.4159,10.6126,87.8027,0.0717,0.1219,1266.4058,211.2993,11.7448,180,175.2044,100,8.1825,3.9745,170.0907,340.597,12.24,31.26,55.5556,5.3369,-3.2066
-11.4,18,134,56,0.1162,0.1688,7.7116,91.2104,0,0.2015,735.6752,2.4425,0,180,157.3705,100,5.4571,3.066,254.9747,555.3699,10.475,35.33,67.8571,2.6128,-1.2216
20.2,20,136,72,0.1566,0.2151,9.3525,89.6679,0,0.0773,469.7086,26.3708,0,180,175.2026,94.9243,5.7423,4.2324,96.9235,326.4796,11.39,32.105,22.2222,3.6548,-2.751
63.6,24,140,36,0.0528,0.3167,7.7911,85.4985,0.0161,0.3519,2032.0553,328.1425,34.9172,180,147.5584,100,5.6855,7.2474,38.7168,648.4118,11.43,32.035,100,5.7872,2.3148
10.8,27,143,48,0.1551,0.3853,8.8642,89.7365,0.0884,0.1451,2170.8704,32.1847,3.8615,180,168.6552,100,7.5708,5.2763,154.6969,574.202,11.29,33.295,62.963,2.545,1.1533
20.8,32,148,56,0.0628,0.1483,7.8207,91.5388,0.0157,0.2199,1003.3013,17.7368,4.1882,180,158.2586,90.3234,5.587,10.3439,3.6135,319.2673,11.445,33.815,30.7692,3.264,-4.8671
59.3,35,151,36,0.0744,0.1378,12.6247,86.1066,0.0333,0.1172,1097.222,44.656,4.9669,180,157.5182,63.9632,9.2186,4.0489,3.521,471.1357,11.315,32.41,88.4615,1.0882,-3.8709
35.3,36,152,48,0.0719,0.178,8.7687,90.7083,0.0108,0.1204,1164.7865,37.3015,26.9587,180,166.6722,43.3032,9.0066,5.1349,1.6678,735.4637,11.935,32.23,76.9231,4.0592,-3.8443
22.7,38,154,56,0.1348,0.1656,10.6555,88.5914,0,0.0732,871.8687,109.0882,19.5594,177.0401,167.3972,94.6162,5.3929,2.6882,33.0458,405.9553,11.89,33.62,61.5385,3.3784,-4.163
27.7,40,156,56,0.168,0.1435,9.3544,89.5833,0,0.049,645.2532,12.1228,9.1594,180,168.3441,100,8.8622,3.8543,236.036,589.6566,11.255,35.03,75,0.4526,-4.0989
35.7,41,157,56,0.0142,0.1491,3.2828,92.8878,0.0355,0.6193,586.8772,12.1256,2.1793,180,180,100,4.5132,6.4468,137.726,318.955,10.71,33.875,73.0769,3.0779,-3.198
28.6,45,161,56,0.05,0.1922,4.6197,93.4688,0.036,0.5885,452.6412,3.6406,0,165.0157,180,86.0416,5.3872,3.5342,103.1729,303.4816,11.34,33.335,52,4.2016,-4.7021
2.6,47,163,56,0.1419,0.2583,9.0674,89.5665,0.1492,0.3365,507.5094,5.4604,0,180,180,84.4496,4.5279,2.6675,200.5271,436.9807,11.59,33.79,59.2593,3.5335,-2.7671
9.7,52,168,40,0.065,0.2416,7.9373,91.1678,0.1266,0.245,1011.1516,74.5564,0.5404,180,180,94.3938,7.9057,6.2241,197.8352,449.1038,11.54,33.585,72,2.8085,-4.442
20.7,53,169,40,0.1961,0.3091,9.0256,89.6942,0.0847,0.2385,1734.4233,50.6668,12.144,180,180,44.0541,3.0597,6.8785,219.088,495.4385,11.84,33.24,92.5926,6.0023,-0.4849
15.5,56,172,48,0.1078,0.219,10.8555,87.5882,0.0707,0.1061,965.564,38.5931,0.2706,180,167.3434,80.3723,5.2058,4.5532,142.0743,541.8379,11.635,33.105,92.5926,4.9569,-5.3981
37.3,57,173,72,0.0147,0.225,3.6819,94.7242,0.0967,0.4163,223.1351,0.8479,0,145.6478,180,91.3228,4.7827,3.2639,99.7738,208.0691,11.185,32.93,30.7692,4.1254,-4.7936
