Batch Information
EventTime,SizerBatchId,GrowerCode,GrowerName,BatchName,StartTime,EventTime,Name,SizerId,BatchId,DensityMode
"2017-12-04 18:05:56",931,"P 43","Roose","16_17","2017-12-04 10:03:49","2017-12-04 18:05:57","Pro 43 92 E Nova ",26,931,"Disabled"

Fruit
EventTime,Cup,Lane,Weight,LR_Diff,DownWeight,UpWeight,GradeValue,MajorDiameter,MinorDiameter,Volume,VisionGrade,Grade,SizerSize,SizerGrade,SizerQuality,RodPulse,RodIndex,BatchId,SizeName,GradeName,QualityName,InternalQuality1,InternalQuality2,InternalQuality3,InternalQuality4,InternalQuality5,InternalQuality6,InternalQuality7,InternalQuality8,CupWeight,FruitLength,Subkey,Provider,Offset,Grade,Lane,Red,Red/Orange,Dark Orange,Orange,Orange/Yellow,Yellow/Green,Green,Dark Green,Light Scar,Dark Scar,Start of Batch,Conveyor,Texture,Overall Roundness,Trapeziod Angle (Deg),Stem angle,Stem Area,Smoothness,Flatness,Elongation,Volume (ml),Minor Diameter (mm),Major Diameter (mm),Touching Factor,Double Factor,Calyx size,Stem Size,Major Diameter (mm)_duplicate_column_1,Minor Diameter (mm)_duplicate_column_1,Volume (ml)_duplicate_column_1,Cyclic Rod Number,Trip Rod,Fruit Center X (mm),Fruit Center Y (mm)
"2017-12-04 18:07:26",877,1,91.9,21.5,35.2,56.7,0,60.6,57.6,100.2,0,"A",4,1,1,25,251,931,"larg","Smoo","Q1",0,0,0,0,0,0,0,0,230.8,1,0,1,28,"A",1,0.9061,0.0029,76.3371,22.32,0.0968,0.3196,0,0,0,0,0.0059,0,358.2933,93.6722,180,180,0,92.9168,10.3116,5.0703,100.1934,57.5682,60.563,0,0,0,0,60.563,57.5682,100.1934,253,73369,3.1613,-3.5837
"2017-12-04 18:07:26",879,1,132.5,23.3,54.6,77.9,0,69.3,65.2,139,0,"A",5,1,1,27,253,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.8,1,0,1,28,"A",1,1.392,0.0092,79.1588,18.9836,0.2293,0.2064,0.0115,0,0,0,0.0023,0,983.7133,91.6248,180,180,0,71.5517,22.3849,6.1122,138.97,65.2099,69.3214,0,0,0,0,69.3214,65.2099,138.97,255,73371,3.1162,-2.3266
"2017-12-04 18:07:26",880,1,135,21.3,56.85,78.15,0,67.3,64.6,141.2,0,"A",5,1,1,28,254,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"A",1,0.8369,0.0023,77.4212,21.403,0.0958,0.1964,0.0047,0,0,0,0.0304,0,642.4254,94.8883,180,180,0,77.4783,11.9986,4.1041,141.1828,64.5636,67.2688,0,0,0,0,67.2688,64.5636,141.1828,0,73372,3.2414,-2.8888
"2017-12-04 18:07:26",881,1,117.2,19.5,48.85,68.35,0,65.1,62.4,122.4,0,"A",5,1,1,29,255,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"A",1,0.8614,0,86.5465,12.274,0.0052,0.2975,0,0,0,0.0026,0.0026,0,458.7731,93.2455,180,180,0,86.5773,19.3333,4.1975,122.3953,62.4094,65.0852,0,0,0,0,65.0852,62.4094,122.3953,1,73373,3.1635,-3.0133
"2017-12-04 18:07:27",882,1,151.6,20.7,65.45,86.15,0,74.1,67.7,166.2,0,"A",6,1,1,30,256,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,1.2674,0.0769,89.1746,9.2766,0.0425,0.0607,0.0526,0,0,0.0364,0.0061,0,602.3879,89.8455,180,180,0,44.2591,21.8912,9.0381,166.1921,67.7053,74.1142,0,0,0,0,74.1142,67.7053,166.1921,2,73374,5.5519,-3.893
"2017-12-04 18:07:27",883,1,114.3,19,47.65,66.65,0,64.4,61.4,118.9,0,"A",5,1,1,31,257,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.9,1,0,1,28,"A",1,1.1874,0.0458,78.3016,20.0356,0.0966,0.2339,0.0839,0,0,0,0.0051,0,545.6978,93.6812,180,180,0,62.1849,12.5262,4.776,118.9008,61.4166,64.4217,0,0,0,0,64.4217,61.4166,118.9008,3,73375,2.4549,-4.5077
"2017-12-04 18:07:27",884,1,112.4,11.9,50.25,62.15,0,63.3,57.2,118.3,0,"A",4,1,1,32,258,931,"larg","Smoo","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,2.9944,0.0537,85.1649,11.2633,0.043,0.0537,0.3464,0.0645,0,0,0,0,805.691,90.3041,180,180,0,63.3475,4.7448,10.1882,118.2529,57.1766,63.3146,0,0,0,0,63.3146,57.1766,118.2529,4,73376,4.0175,-3.9302
"2017-12-04 18:07:27",885,1,113.7,12.8,50.45,63.25,0,64.3,61,120.9,0,"A",5,1,1,33,259,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.7,1,0,1,28,"A",1,2.6979,0,85.2832,11.7674,0.005,0.1257,0.0779,0,0,0,0.0302,0,694.353,94.3903,180,180,0,88.031,8.9594,5.2857,120.9398,61.0334,64.347,0,0,0,0,64.347,61.0334,120.9398,5,73377,4.7505,-2.8386
"2017-12-04 18:07:27",886,1,137,24,56.5,80.5,0,70.9,67,148.6,0,"A",6,1,1,34,260,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,230.6,1,0,1,28,"A",1,2.3172,0.0044,77.432,16.9387,0.0264,2.8817,0.3229,0,0,0.0176,0.0439,0,968.6946,90.7604,180,180,0,88.2512,20.9401,5.7486,148.5709,66.9758,70.94,0,0,0,0,70.94,66.9758,148.5709,6,73378,4.4477,-2.6238
"2017-12-04 18:07:27",887,1,154.7,16.3,69.2,85.5,0,72.1,69.2,164.6,0,"A",6,1,1,35,261,931,"mamm","Smoo","Q1",0,0,0,0,0,0,0,0,231,1,0,1,28,"A",1,0.7908,0.0474,88.8694,9.9815,0.0227,0.2327,0.0453,0,0,0.0021,0,0,916.1371,92.8215,180,180,0,93.486,24.7508,4.0772,164.6314,69.229,72.1103,0,0,0,0,72.1103,69.229,164.6314,7,73379,4.3347,-2.9393
"2017-12-04 18:07:27",889,1,133.2,31.9,50.65,82.55,0,68,64.8,138.2,0,"A",5,1,1,37,263,931,"jumb","Smoo","Q1",0,0,0,0,0,0,0,0,230.3,1,0,1,28,"A",1,1.1695,0,63.8023,34.5496,0.1891,0.2124,0.0584,0,0,0.0047,0.0047,0,580.3699,93.1222,180,180,0,79.372,17.3926,4.8167,138.2437,64.7612,67.9575,0,0,0,0,67.9575,64.7612,138.2437,9,73381,3.755,-2.3559
